date,transactions,sales,sales_transactions,cash_sales,cashless_transactions,cashless_kind,cashless_sales,cashless_sales_kind,customers,Customer_unit_price,store_horiday
2021/05/20,71,55973,43,30448,28,JCB(4)/MASTER(7)/交通系IC(13)/選択なし(2)/iD(2),25525,JCB(6125)/MASTER(6366)/交通系IC(9721)/選択なし(1870)/iD(1443),71,788,0
2021/05/21,53,47729,39,34520,14,JCB(1)/MASTER(4)/交通系IC(9),13208,JCB(880)/MASTER(3878)/交通系IC(8450),53,901,0
2021/05/22,97,100694,57,51242,40,交通系IC(13)/JCB(5)/WAON(1)/MASTER(15)/選択なし(2)/iD(3)/QUICPay(1),49452,交通系IC(13543)/JCB(6469)/WAON(440)/MASTER(20592)/選択なし(3561)/iD(2812)/QUICPay(2035),97,1038,0
2021/05/23,115,104518,70,63218,45,交通系IC(16)/MASTER(9)/WAON(5)/JCB(5)/iD(8)/選択なし(1)/QUICPay(1),41301,交通系IC(14154)/MASTER(6206)/WAON(5806)/JCB(5403)/iD(7922)/選択なし(1119)/QUICPay(691),115,909,0
2021/05/24,0,0,0,0,0,,0,,0,0,1
2021/05/25,73,61770,42,36319,31,交通系IC(16)/JCB(4)/MASTER(7)/iD(3)/選択なし(1),25451,交通系IC(10319)/JCB(2970)/MASTER(9588)/iD(1974)/選択なし(600),73,846,0
2021/05/26,76,57774,43,31986,33,JCB(1)/交通系IC(17)/MASTER(11)/iD(2)/QUICPay(1)/選択なし(1),25789,JCB(653)/交通系IC(10592)/MASTER(12131)/iD(1033)/QUICPay(750)/選択なし(630),76,760,0
2021/05/27,51,44758,35,29660,16,JCB(4)/交通系IC(7)/MASTER(2)/iD(2)/QUICPay(1),15099,JCB(6085)/交通系IC(5562)/MASTER(970)/iD(1052)/QUICPay(1430),51,878,0
2021/05/28,81,77273,53,46631,28,交通系IC(10)/JCB(5)/iD(4)/MASTER(8)/選択なし(1),30642,交通系IC(8106)/JCB(7270)/iD(2289)/MASTER(12287)/選択なし(690),81,954,0
2021/05/29,116,114350,75,74550,41,MASTER(12)/交通系IC(19)/iD(6)/JCB(4),39799,MASTER(12024)/交通系IC(19508)/iD(5314)/JCB(2953),116,986,0
2021/05/30,94,99482,55,55015,39,MASTER(17)/交通系IC(17)/JCB(3)/選択なし(2),44467,MASTER(22919)/交通系IC(16407)/JCB(2200)/選択なし(2941),94,1058,0
2021/05/31,0,0,0,0,0,,0,,0,0,1
2021/06/1,81,66047,50,38808,31,交通系IC(12)/iD(6)/MASTER(7)/選択なし(1)/WAON(1)/JCB(4),27239,交通系IC(6850)/iD(4420)/MASTER(6937)/選択なし(2533)/WAON(462)/JCB(6037),81,815,0
2021/06/2,67,55096,40,30499,27,MASTER(6)/JCB(5)/交通系IC(13)/選択なし(1)/iD(2),24598,MASTER(6197)/JCB(4600)/交通系IC(11022)/選択なし(630)/iD(2149),67,822,0
